Object, Time, Clicked, truth
0, 1693176424624, 0, True
1, 1693176429622, 0, False
2, 1693176434622, 0, False
3, 1693176439622, 0, False
4, 1693176444623, 0, False
5, 1693176449621, 0, False
6, 1693176454622, 0, False
7, 1693176459623, 0, False
8, 1693176464622, 0, True
9, 1693176469621, 0, True
10, 1693176474623, 0, False
11, 1693176479622, 0, False
12, 1693176484621, 0, False
13, 1693176489622, 0, True
14, 1693176494622, 0, False
15, 1693176499622, 0, True
16, 1693176504623, 0, False
17, 1693176509624, 0, False
18, 1693176514621, 0, True
19, 1693176519622, 0, True
20, 1693176524622, 0, False
21, 1693176529622, 0, True
22, 1693176534622, 0, False
23, 1693176539622, 0, False
24, 1693176544622, 0, False
25, 1693176549622, 0, False
26, 1693176554622, 0, True
27, 1693176559622, 0, True
28, 1693176564622, 0, True
29, 1693176569623, 0, False
30, 1693176574622, 0, False
31, 1693176579622, 0, False
32, 1693176584622, 0, False
33, 1693176589623, 0, False
34, 1693176594622, 0, False
35, 1693176599623, 0, False
36, 1693176604622, 0, False
37, 1693176609623, 0, True
38, 1693176614622, 0, True
39, 1693176619622, 0, True
40, 1693176624621, 0, True
41, 1693176629622, 0, False
42, 1693176634623, 0, True
43, 1693176639623, 0, False
44, 1693176644622, 0, True
45, 1693176649622, 0, True
46, 1693176654621, 0, True
47, 1693176659622, 0, False
48, 1693176664623, 0, False
49, 1693176669622, 0, True
50, 1693176683655, 0, False
51, 1693176688655, 0, True
52, 1693176693655, 0, True
53, 1693176698656, 0, True
54, 1693176703689, 0, True
55, 1693176708689, 0, True
56, 1693176713656, 0, True
57, 1693176718656, 0, True
58, 1693176723656, 0, False
59, 1693176728655, 0, False
60, 1693176733656, 0, True
61, 1693176738655, 0, True
62, 1693176743655, 0, True
63, 1693176748656, 0, False
64, 1693176753656, 0, True
65, 1693176758655, 0, False
66, 1693176763656, 0, True
67, 1693176768655, 0, True
68, 1693176773656, 0, False
69, 1693176778656, 0, False
70, 1693176783656, 0, True
71, 1693176788655, 0, False
72, 1693176793655, 0, True
73, 1693176798655, 0, True
74, 1693176803656, 0, True
75, 1693176808656, 0, True
76, 1693176813655, 0, False
77, 1693176818655, 0, False
78, 1693176823688, 0, False
79, 1693176828656, 0, True
80, 1693176833655, 0, True
81, 1693176838655, 0, True
82, 1693176843655, 0, True
83, 1693176848656, 0, True
84, 1693176853688, 0, True
85, 1693176858656, 0, True
86, 1693176863656, 0, True
87, 1693176868655, 0, False
88, 1693176873656, 0, False
89, 1693176878656, 0, False
90, 1693176883655, 0, False
91, 1693176888656, 0, True
92, 1693176893656, 0, False
93, 1693176898689, 0, True
94, 1693176903656, 0, False
95, 1693176908656, 0, False
96, 1693176913655, 0, False
97, 1693176918689, 0, True
98, 1693176923688, 0, True
99, 1693176928655, 0, False
